katalogusszam,sap_rendelesi_szam,megnevezes,listaar_huf,statusz
004656,LG-004656,Lexic átkapcsoló 2P 2 impulzusadó állással,37996,
004658,LG-004658,Lexic átkapcsoló 2P 2 bekapcsolt állással,41621,
004663,LG-004663,Lexic A/V mérő digitális ÁV 5A AC 500V AC/DC,209148,
004664,LG-004664,Lexic Hz mérő digitális 40-80Hz 230V~,329164,
004666,LG-004666,Lexic A mérő skála 0-1250A 4600-hoz,5399,
004670,LG-004670,Lexic fogyasztásmérő 1F direkt 32A imp.kimenet,55034,
004689,LG-004689,IP konverter RS 485 / Ethernet konverzióval - 2 modul,442528,
004691,LG-004691,Lexic üzemóra számláló analóg 24V~,40128,
004694,LG-004694,Lexic üzemóra számláló analóg 230V~,46489,
004704,LG-004704,Lexic lécsőházi automata kikapcsolás előjelzővel,36686,
004740,LG-004740,Lexic időrelé meghúzás késleltetés 8A 250V~,75595,
004741,LG-004741,Lexic időrelé ejtés késleltetés 8A 250V~,77355,
004742,LG-004742,Lexic időrelé ciklusismétlő 8A 250V~,96226,
004743,LG-004743,Lexic időrelé időzítő 8A 250V~,99022,
004744,LG-004744,Lexic időrelé többfunkciós 8A 250V~,117818,
004745,LG-004745,Lexic időrelé impulzusadó 8A 250V~,94683,
004801,LG-004801,Lexic elosztókapocs csupasz 4 csatlakozás,1414,
004803,LG-004803,Lexic elosztókapocs csupasz 8 csatlakozás,1611,
004805,LG-004805,Lexic elosztókapocs csupasz 14 csatlakozás,2328,
004806,LG-004806,Lexic elosztókapocs csupasz 19 csatlakozás,4799,
004807,LG-004807,Lexic elosztókapocs csupasz 24 csatlakozás,7349,
004810,LG-004810,Lexic elosztókapocs-tartó sínre szerelhető,4637,
004811,LG-004811,Lexic elosztókapocs-tartó univerzális,1433,
004817,LG-004817,Lexic elkosztókapocs-tartó üres 35 furat,2512,
004819,LG-004819,Lexic 12x2 lapos sín,3269,
004820,LG-004820,Lexic elosztókapocs félig szigetelt 4 csatlakozás,2034,
004822,LG-004822,Lexic elosztókapocs félig szigetelt 8 csatlakozás,2394,
004824,LG-004824,Lexic elosztókapocs félig szigetelt 12 csatlakozás,3154,
004825,LG-004825,Lexic elosztókapocs félig szigetelt 16 csatlakozás,3848,
004826,LG-004826,Lexic elosztókapocs félig szigetelt 21 csatlakozás,8965,
004828,LG-004828,Lexic elosztókapocs félig szigetelt 33 csatlakozás,9557,
004830,LG-004830,Lexic elosztókapocs IP2 4 védő csatlakozás zöld,1621,
004832,LG-004832,Lexic elosztókapocs IP2 8 védő csatlakozás,2148,
004834,LG-004834,Lexic elosztókapocs IP2 12 védő csatlakozás,2672,
004835,LG-004835,Lexic elosztókapocs IP2 16 védő csatlakozás,3626,
004836,LG-004836,Lexic elosztókapocs IP2 21 védő csatlakozás,9444,
004838,LG-004838,Lexic elosztókapocs IP2 33 védő csatlakozás,10439,
004840,LG-004840,Lexic elosztókapocs IP2 4 nulla csatlakozás kék,1636,
004842,LG-004842,Lexic elosztókapocs IP2 8 nulla csatlakozás,2093,
004844,LG-004844,Lexic elosztókapocs IP2 12 nulla csatlakozás,2706,
004845,LG-004845,Lexic elosztókapocs IP2 16 nulla csatlakozás,3711,
004846,LG-004846,Lexic elosztókapocs IP2 21 nulla csatlakozás,9436,
004848,LG-004848,Lexic elosztókapocs IP2 33 nulla csatlakozás,0,Megszűnt termék!
004850,LG-004850,Lexic elosztókapocs IP2 4 fázis csatlakozás fekete,1613,
004852,LG-004852,Lexic elosztókapocs IP2 8 fázis csatlakozás,2112,
004854,LG-004854,Lexic elosztókapocs IP2 12 fázis csatlakozás,2631,
004855,LG-004855,Lexic elosztókapocs IP2 16 fázis csatlakozás,4005,
004856,LG-004856,Lexic elosztókapocs IP2 21 fázis csatlakozás,10020,
004858,LG-004858,Lexic elosztókapocs IP2 33 fázis csatlakozás,10938,
004867,LG-004867,Lexic elosztókapocs 160A,11874,
004868,LG-004868,Lexic elosztókapocs 250A,14063,
004871,LG-004871,Lexic moduláris elosztóblokk 1P 125A 16 furat,23219,
004873,LG-004873,Lexic moduláris elosztóblokk 1P 250A 10 furat,29767,
004876,LG-004876,Lexic moduláris elosztóblokk 4P 125A 4x17 furat,0,Megszűnt termék!
004877,LG-004877,Lexic elosztóblokk 4P 250A 4x12 furat,105196,
004883,LG-004883,Lexic moduláris elosztóblokk 1P 160A 12 furat,24118,
005790,LG-005790,Lexic biztosítóaljzat kiolvadásjelző 250V~,3465,
005792,LG-005792,Lexic biztosítóaljzat összekötő fogantyú 2x1P,4606,
005793,LG-005793,Lexic biztosítóaljzat összekötő fogantyú 3x1P,6857,
005794,LG-005794,Lexic biztosítóaljzat összekötő fogantyú 4x1P,10117,
005796,LG-005796,Lexic biztosítóaljzat Ny+Z segédérintkezővel 5A,27509,
005799,LG-005799,Lexic biztosítóaljzat lakattartó átm. 5mm,5505,
005800,LG-005800,Lexic biztosítóaljzat 1P 5 x20,9419,
005802,LG-005802,Lexic biztosítóaljzat 1P+N 5 x20,10863,
005808,LG-005808,Lexic biztosítóaljzat 1P 10 x38,6313,
005818,LG-005818,Lexic biztosítóaljzat 1P+N 10 x38,9832,
005828,LG-005828,Lexic biztosítóaljzat 2P 10 x38,14187,
005838,LG-005838,Lexic biztosítóaljzat 3P 10 x38,21946,
005848,LG-005848,Lexic biztosítóaljzat 3P+N 10 x38,24150,
009799,LG-009799,Legrand tervtartó hajlékony műanyag,2832,
009819,LG-009819,DPX csatlakozó készlet ,174258,
010202,LG-010202,Lexic biztosítóaljzat 200mA F 5x20 gyors kiolvadásjelző nélkül,1134,
010205,LG-010205,Lexic biztosítóaljzat 500mA F 5x20 gyors kiolvadásjelző nélkül,1251,
010206,LG-010206,Lexic biztosítóaljzat 630mA F 5x20 gyors kiolvadásjelző nélkül,1396,
010210,LG-010210,Lexic biztosítóaljzat 1A F 5x20 gyors kiolvadásjelző nélkül,1171,
010212,LG-010212,"Lexic biztosítóaljzat 1,25A F 5x20 gyors kiolvadásjelző nélkül",1255,
010216,LG-010216,"Lexic biztosítóaljzat 1,6A F 5x20 gyors kiolvadásjelző nélkül",1274,
010220,LG-010220,Lexic biztosítóaljzat 2A F 5x20 gyors kiolvadásjelző nélkül,1149,
010225,LG-010225,"Lexic biztosítóaljzat 2,5A F 5x20 gyors kiolvadásjelző nélkül",1131,
010230,LG-010230,"Lexic biztosítóaljzat 3,15A F 5x20 gyors kiolvadásjelző nélkül",1076,
010250,LG-010250,Lexic biztosítóaljzat 5A F 5x20 gyors kiolvadásjelző nélkül,1192,
010263,LG-010263,"Lexic biztosítóaljzat 6,3A F 5x20 gyors kiolvadásjelző nélkül",1268,
010296,LG-010296,Lexic biztosítóaljzat 10A F 5x20 gyors kiolvadásjelző nélkül,1285,
010401,LG-010401,"DLP csatorna 60x35 mm, fedél nélkül",2393,
010402,LG-010402,"DLP csatorna 60x50 mm, fedél nélkül",2897,
010411,LG-010411,"DLP csatorna 80x35 mm, fedél nélkül",3144,
010412,LG-010412,"DLP csatorna 80x50 mm, fedél nélkül",3468,
010422,LG-010422,"DLP csatorna 105x50 mm, fedél nélkül",4024,
010423,LG-010423,"DLP csatorna 105x65 mm, fedél nélkül",4692,
010424,LG-010424,"Univerzális DLP kábelcsatorna, 105 x 50 mm, 65 mm-es hajlékony fedéllel, válaszfal nélkül, 2 m, fehér",5145,
010427,LG-010427,"Univerzális DLP kábelcsatorna, 150 x 50 mm, 2 x 65 mm-es hajlékony fedéllel, válaszfallal, 2 m, fehér",7885,
010428,LG-010428,"Univerzális DLP kábelcsatorna, 220 x 50 mm, 3 x 65 mm-es hajlékony fedéllel, válaszfallal, 2 m, fehér",11859,
010432,LG-010432,"DLP csatorna 150x50 mm, fedél nélkül",5363,
010433,LG-010433,"DLP csatorna 150x65 mm, fedél nélkül",6651,
010453,LG-010453,"DLP csatorna 195x65 mm, fedél nélkül",9957,
010459,LG-010459,"DLP csatorna 220x65 mm, fedél nélkül",10163,
010461,LG-010461,"Univerzális DLP kábelcsatorna, 80 x 35 mm, 65 mm-es hajlékony fedéllel, válaszfal nélkül, 2 m, fehér",3732,
010462,LG-010462,"Univerzális DLP kábelcsatorna, 80 x 50 mm, 65 mm-es hajlékony fedéllel, válaszfal nélkül, 2 m, fehér",4607,
010463,LG-010463,"Univerzális DLP kábelcsatorna, 105 x 35 mm, 85 mm-es hajlékony fedéllel, válaszfal nélkül, 2 m, fehér",4356,
010464,LG-010464,"Univerzális DLP kábelcsatorna, 105 x 50 mm, 85 mm-es hajlékony fedéllel, válaszfal nélkül, 2 m, fehér",5231,
010465,LG-010465,"Univerzális DLP kábelcsatorna, 150 x 50 mm, 130 mm-es hajlékony fedéllel, válaszfal nélkül, 2 m, fehér",7211,
010467,LG-010467,"Univerzális DLP kábelcsatorna, 170 x 50 mm, 65 mm-es és 2 x 40 mm-es hajlékony fedéllel, válaszfallal, 2 m, fehér",13335,
010469,LG-010469,"Univerzális DLP kábelcsatorna, 195 x 50 mm, 180 mm-es hajlékony fedéllel, válaszfal nélkül, 2 m, fehér",11621,
010470,LG-010470,"Univerzális DLP kábelcsatorna, 195 x 50 mm, 2x85 mm-es hajlékony fedéllel, válaszfallal, 2 m, fehér",14425,
010472,LG-010472,"DLP válaszfal 50 mm magas, fedéltartóval",2201,
010473,LG-010473,"DLP válaszfal 65 mm magas, fedéltartóval",2394,
010475,LG-010475,"Univerzális DLP kábelcsatorna, 150 x 65 mm, 130 mm-es hajlékony fedéllel, válaszfal nélkül, 2 m, fehér",8907,
010476,LG-010476,"Univerzális DLP kábelcsatorna, 195 x 65 mm, 180 mm-es hajlékony fedéllel, válaszfal nélkül, 2 m, fehér",13318,
010520,LG-010520,"DLP hajlékony fedél, 40 mm széles ",1074,
010521,LG-010521,"DLP hajlékony fedél, 65 mm széles ",895,
010522,LG-010522,"DLP hajlékony fedél, 85 mm széles ",1104,
010524,LG-010524,"DLP hajlékony fedél, 130 mm széles ",2288,
010526,LG-010526,"DLP hajlékony fedél, 180 mm széles ",3210,
010580,LG-010580,DLP távtartó padlószegélyre szereléshez,3064,
010582,LG-010582,"DLP válaszfal 50 magas, fedéltartó nélkül",1797,
010583,LG-010583,"DLP válaszfal 65 magas, fedéltartó nélkül",2044,
010584,LG-010584,"DLP válaszfal ragasztható, 60x35/50 és 80x35 csatornához",1731,
010601,LG-010601,DLP belső könyök 35 mm mély csatornához,2084,
010602,LG-010602,DLP belső könyök 50 mm mély csatornához,2494,
010603,LG-010603,DLP belső könyök 65 mm mély csatornához,3907,
010605,LG-010605,DLP belső könyök 50x105mm-es csatornához,1329,
010606,LG-010606,DLP belső könyök 50 mm mély 2 rekeszes csatornához,3172,
010607,LG-010607,DLP belső könyök 65 mm mély 2 rekeszes csatornához,3965,
010611,LG-010611,"DLP belső könyök válaszfalhoz, 95-120°",3345,
010612,LG-010612,"DLP belső könyök válaszfalhoz, 60-85°",2640,
010613,LG-010613,"DLP belső könyök csatornához, 60-85° ",6221,
010614,LG-010614,"DLP belső könyök csatornához, 95-120° ",6018,
010619,LG-010619,DLP külső könyök 50x105mm-es csatornához,2324,
010621,LG-010621,DLP külső könyök 35 mm mély csatornához,3300,
010622,LG-010622,DLP külső könyök 50 mm mély csatornához,2442,
010623,LG-010623,DLP külső könyök 65 mm mély csatornához,5787,
010632,LG-010632,DLP külső könyök 50 mm mély válaszfalhoz,3351,
010633,LG-010633,DLP külső könyök 65 mm mély válaszfalhoz,4785,
010635,LG-010635,DLP külső könyök 50 mm mély 2 rekeszes csatornához ,7634,
010636,LG-010636,DLP külső könyök 65 mm mély 2 rekeszes csatornához,9484,
010638,LG-010638,DLP 4 részes külső könyök 50x170-es csatornához,4495,
010639,LG-010639,DLP külső könyök 65 mm mély 3 részes csatornához,12127,
010650,LG-010650,DLP 4 részes belső könyök 50x170-es csatornához,2832,
010658,LG-010658,DLP belső könyök 65 mm mély 3 részes csatornához,4703,
010681,LG-010681,DLP kábelrögzítő 65 mm széles fedélhez,501,
010682,LG-010682,DLP kábelrögzítő 40/65/85 mm széles fedélhez,522,
010686,LG-010686,DLP kábelrögzítő 130/180 mm széles fedélhez,804,
010687,LG-010687,"DLP kapacitásbővítő, 57 cm",0,Megszűnt termék!
010688,LG-010688,DLP kapacitásbővítő záróelem (4 db),0,Megszűnt termék!
010689,LG-010689,DLP kapacitásbővítő válaszfalhoz (4db),0,Megszűnt termék!
010690,LG-010690,DLP elágazóelem 92x20 csatornából ,4325,
010691,LG-010691,"DLP takaróelem csatornához, pattintható",477,
