katalogusszam,sap_rendelesi_szam,megnevezes,listaar_huf,statusz
023950,LG-023950,Osmoz kulcsos 2 fix V állású kapcsoló - fekete,17220,
023951,LG-023951,Osmoz kulcsos 2 fix állású kapcsoló - fekete,17220,
023952,LG-023952,Osmoz kulcsos 2 állású visszaugrós kapcsoló - fekete,20738,
023953,LG-023953,Osmoz kulcsos 2 fix állású kapcsoló 90° - fekete,17220,
023954,LG-023954,Osmoz kulcsos 2 fix V állású kapcsoló 90° - fekete,17220,
023955,LG-023955,Osmoz kulcsos 2 fix állású kapcsoló 90° - fekete,17220,
023960,LG-023960,Osmoz kulcsos 3 fix állású kapcsoló - fekete,18413,
023961,LG-023961,Osmoz kulcsos 3 állású visszaugrós kapcsoló - fekete,22478,
023962,LG-023962,Osmoz kulcsos 3 állású visszaugrós kapcsoló - fekete,29076,
023963,LG-023963,Osmoz kulcsos 3 fix állású kapcsoló 90° - fekete,28275,
023964,LG-023964,Osmoz kulcsos 3 fix állású kapcsoló 90° - fekete,28275,
023971,LG-023971,Osmoz forgatógombos 2 állású V visszaugrós kapcsoló - fekete,6766,
023972,LG-023972,Osmoz forgatógombos 2 fix állású kapcsoló 90° - fekete,5223,
023977,LG-023977,Osmoz forgatógombos 3 fix állású kapcsoló 90° - fekete,5239,
023980,LG-023980,"Osmoz kettős nyomógomb - ""O/I"" sülly/sülly piros/zöld IP65",4858,
023982,LG-023982,"Osmoz kettős nyomógomb - ""O/I"" sülly/kiálló piros/zöld IP65",6609,
023984,LG-023984,"Osmoz kettős nyomógomb - ""O/I"" sülly/kiálló piros/zöld IP67",9917,
023989,LG-023989,Osmoz potenciometer,24146,
023990,LG-023990,Osmoz joystick 2P visszaugrós,28412,
023991,LG-023991,Osmoz joystick 2P reteszelt,28412,
023992,LG-023992,Osmoz joystick 2P visszaugrós,32456,
023993,LG-023993,Osmoz joystick 2P reteszelt,32456,
023996,LG-023996,Osmoz joystick 4P visszaugrós,29080,
023997,LG-023997,Osmoz joystick 4P visszaugrós,29080,
023998,LG-023998,Osmoz joystick 4P reteszelt,41707,
023999,LG-023999,Osmoz joystick 4P reteszelt,41707,
024000,LG-024000,Osmoz süllyesztett világító nyomógomb - fehér,3401,
024001,LG-024001,Osmoz süllyesztett világító nyomógomb - piros,3211,
024002,LG-024002,Osmoz süllyesztett világító nyomógomb - zöld,3211,
024003,LG-024003,Osmoz süllyesztett világító nyomógomb - kék,3401,
024004,LG-024004,Osmoz süllyesztett világító nyomógomb - sárga,3401,
024008,LG-024008,Osmoz extralapos világító nyomógomb - piros Ø30,6520,
024009,LG-024009,Osmoz extralapos világító nyomógomb - zöld Ø30,6520,
024011,LG-024011,Osmoz kiálló világító nyomógomb - piros,4170,
024012,LG-024012,Osmoz kiálló világító nyomógomb - zöld,4170,
024021,LG-024021,Osmoz reteszelt süllyesztett világító nyomógomb - piros,4938,
024022,LG-024022,Osmoz reteszelt süllyesztett világító nyomógomb - zöld,4938,
024026,LG-024026,Osmoz reteszelt kiálló világító nyomógomb - piros,6026,
024027,LG-024027,Osmoz reteszelt kiálló világító nyomógomb - zöld,6026,
024031,LG-024031,Osmoz forgatókaros 2 fix V állású világító kapcsoló - piros,9820,
024032,LG-024032,Osmoz forgatókaros 2 fix V állású világító kapcsoló - zöld,9820,
024033,LG-024033,Osmoz forgatókaros 2 fix V állású világító kapcsoló - fekete,9820,
024035,LG-024035,Osmoz forgatókaros 2 fix állású világító kapcsoló - piros,9820,
024036,LG-024036,Osmoz forgatókaros 2 fix állású világító kapcsoló - zöld,9820,
024037,LG-024037,Osmoz forgatókaros 2 fix állású világító kapcsoló - fekete,9275,
024040,LG-024040,Osmoz extralapos reteszelt világító nyomógomb - piros Ø30,6903,
024041,LG-024041,Osmoz forgatókaros 2 fix állású világító kapcsoló 90° - piros,9820,
024042,LG-024042,Osmoz forgatókaros 2 fix állású világító kapcsoló 90°- zöld,9820,
024043,LG-024043,Osmoz forgatókaros 2 fix állású világító kapcsoló 90°- fekete,9820,
024049,LG-024049,Osmoz extralapos reteszelt világító nyomógomb - zöld Ø30,6903,
024051,LG-024051,Osmoz forgatókaros 3 fix állású világító kapcsoló - piros,10778,
024052,LG-024052,Osmoz forgatókaros 3 fix állású világító kapcsoló - zöld,10778,
024053,LG-024053,Osmoz forgatókaros 3 fix állású világító kapcsoló - fekete,10778,
024054,LG-024054,Osmoz forgatókaros 3 állású visszaugrós világító kapcsoló - piros,13903,
024055,LG-024055,Osmoz forgatókaros 3 állású visszaugrós világító kapcsoló - zöld,13903,
024056,LG-024056,Osmoz forgatókaros 3 állású visszaugrós világító kapcsoló - fekete,13903,
024057,LG-024057,Osmoz forgatókaros 3 állású visszaugrós világító kapcsoló - piros,14607,
024058,LG-024058,Osmoz forgatókaros 3 állású visszaugrós világító kapcsoló - zöld,14607,
024059,LG-024059,Osmoz forgatókaros 3 állású visszaugrós világító kapcsoló - fekete,14607,
024060,LG-024060,Osmoz hosszúkaros 2 fix V állású világító kapcsoló - fekete,14607,
024061,LG-024061,Osmoz hosszúkaros 3 fix állású világító kapcsoló - fekete,14607,
024070,LG-024070,"Osmoz kettős világító nyomógomb - ""O/I"" sülly/sülly piros/zöld",7472,
024071,LG-024071,Osmoz kettős világító nyomógomb - sülly/sülly zöld/zöld,8166,
024073,LG-024073,"Osmoz kettős világítő nyomógomb - ""O/I"" sülly/kiálló piros/zöld IP65",8262,
024076,LG-024076,"Osmoz kettős világító nyomógomb - ""O/I"" sülly/kiálló piros/zöld IP67",11931,
024080,LG-024080,Osmoz vészleállító világító gomb reteszoldás húzással Ø40 - piros,8741,
024082,LG-024082,Osmoz vészleállító világító gomb reteszoldás húzással EN418 Ø40 - piros,9915,
024091,LG-024091,Osmoz vészleállító világító gomb reteszoldás forgatással Ø40 - piros,9253,
024160,LG-024160,Osmoz jelzőlámpa fej - fehér,1961,
024161,LG-024161,Osmoz jelzőlámpa fej - piros,1961,
024162,LG-024162,Osmoz jelzőlámpa fej - zöld,1961,
024163,LG-024163,Osmoz jelzőlámpa fej - kék,2076,
024164,LG-024164,Osmoz jelzőlámpa fej - sárga,1961,
024176,LG-024176,"Osmoz cimke vészleállító nyomógombhoz Ø60 - ""EMERGENCY STOP""",2689,
024179,LG-024179,"Osmoz cimke vészleállító nyomógombhoz Ø80 - ""EMERGENCY STOP""",2741,
024181,LG-024181,Osmoz takarófedél gombafejhez IP67 - sárga,9361,
024185,LG-024185,Osmoz rögzítő eszköz,8492,
024186,LG-024186,Osmoz szűkítőgyűrű Ø30/22,2326,
024187,LG-024187,Osmoz vakdugó,3989,
024188,LG-024188,Osmoz lakatolható védősapka,9048,
024189,LG-024189,Osmoz négyzet alakú takarófedél gombafejhez IP67 - fekete,1064,
024190,LG-024190,Osmoz takarófedél nyomógombhoz IP67 - színtelen,795,
024191,LG-024191,Osmoz takarófedél nyomógombhoz IP67 - piros,797,
024192,LG-024192,Osmoz takarófedél nyomógombhoz IP67 - zöld,797,
024193,LG-024193,Osmoz takarófedél nyomógombhoz IP67 - fekete,1064,
024196,LG-024196,Osmoz takarófedél kettős nyomógombhoz IP67 - színtelen,3030,
024199,LG-024199,Osmoz rázkodásellenes gyűrű,4649,
024200,LG-024200,Osmoz üres doboz 1 lyuk - szürke,4306,
024201,LG-024201,Osmoz üres doboz 1 lyuk - sárga fedél,4933,
024202,LG-024202,Osmoz üres doboz 2 lyuk - szürke,5301,
024203,LG-024203,Osmoz üres doboz 3 lyuk - szürke,6121,
024204,LG-024204,Osmoz üres doboz 4 lyuk - szürke,8741,
024205,LG-024205,Osmoz üres doboz 5 lyuk - szürke,9487,
024212,LG-024212,Osmoz sárga tokozat piros gombafejű nyomógombbal - Ny,11828,
024215,LG-024215,Osmoz sárga tokozat piros gombafejű nyomógombbal - Ny,14408,
024217,LG-024217,Osmoz szürke tokozat kulcsos 2 állású kapcsoló - Z,20779,
024218,LG-024218,Osmoz sárga tokozat EN418 vészlállítóval -Ny,16625,
024230,LG-024230,"Osmoz szürke tokozat zöld ""I"" Z + piros ""O"" Ny nomógombokkal",26462,
024236,LG-024236,"Osmoz szürke tokozat zöld/piros/zöld ""↑-O-↓"" nyomógombokkal",29178,
024241,LG-024241,Osmoz csavaros érintkező tokozathoz - Ny,2038,
024242,LG-024242,Osmoz csavaros érintkező tokozathoz - Z,2038,
024250,LG-024250,"Osmoz csavaros fényforrás elem, tokozatra - fehér 24V ~/=",7264,
024251,LG-024251,"Osmoz csavaros fényforrás elem, tokozatra - piros 24V ~/=",7264,
024252,LG-024252,"Osmoz csavaros fényforrás elem, tokozatra - zöld 24V ~/=",7264,
024253,LG-024253,"Osmoz csavaros fényforrás elem, tokozatra - kék 24V ~/=",7264,
024254,LG-024254,"Osmoz csavaros fényforrás elem, tokozatra - sárga 24V ~/=",7264,
024260,LG-024260,"Osmoz csavaros fényforrás elem, tokozatra - fehér 130V ~",8595,
024261,LG-024261,"Osmoz csavaros fényforrás elem, tokozatra - piros 130V ~",8594,
024262,LG-024262,"Osmoz csavaros fényforrás elem, tokozatra - zöld 130V ~",8594,
024263,LG-024263,"Osmoz csavaros fényforrás elem, tokozatra - kék 130V ~",8594,
024264,LG-024264,"Osmoz csavaros fényforrás elem, tokozatra - sárga 130V ~",8594,
024270,LG-024270,"Osmoz csavaros fényforrás elem, tokozatra - fehér 230V ~",9032,
024271,LG-024271,"Osmoz csavaros fényforrás elem, tokozatra - piros 230V ~",8527,
024272,LG-024272,"Osmoz csavaros fényforrás elem, tokozatra - zöld 230V ~",8527,
024273,LG-024273,"Osmoz csavaros fényforrás elem, tokozatra - kék 230V ~",9032,
024274,LG-024274,"Osmoz csavaros fényforrás elem, tokozatra - sárga 230V ~",9032,
024300,LG-024300,Osmoz címke 9mm - fehér,1248,
024301,LG-024301,Osmoz címke 9mm - piros,1531,
024302,LG-024302,Osmoz címke 9mm - alumínium,1064,
024303,LG-024303,Osmoz címke 9mm - fekete,1064,
024304,LG-024304,Osmoz címke 9mm - átlátszó,382,
024305,LG-024305,Osmoz címke 12mm - fehér,1330,
024306,LG-024306,Osmoz címke 12mm - piros,1531,
024307,LG-024307,Osmoz címke 12mm - alumínium,1064,
024308,LG-024308,Osmoz címke 12mm - fekete,1064,
024309,LG-024309,Osmoz címke 12mm - átlátszó,403,
024315,LG-024315,Osmoz kerek cimketartó keret 9mm,376,
024316,LG-024316,Osmoz kerek cimketartó keret 12mm,610,
024318,LG-024318,Osmoz négyzet alakú cimketartó keret 9mm,1055,
024319,LG-024319,Osmoz kerek cimketartó keret - kettős kapcsolóhoz 9mm,1002,
024320,LG-024320,Osmoz cimketartó cimkével 9mm - fehér,1797,
024321,LG-024321,Osmoz cimketartó cimkével 9mm - piros,1929,
024322,LG-024322,Osmoz cimketartó cimkével 9mm - alu,1797,
024323,LG-024323,Osmoz cimketartó cimkével 9mm - fekete,1797,
024324,LG-024324,Osmoz cimketartó cimkével 9mm - átlátszó,864,
024325,LG-024325,Osmoz cimketartó cimkével 12mm - fehér,2128,
024326,LG-024326,Osmoz cimketartó cimkével 12mm - piros,2264,
024328,LG-024328,Osmoz cimketartó cimkével 12mm - fekete,2128,
024329,LG-024329,Osmoz cimketartó cimkével 12mm - átlátszó,1198,
024330,LG-024330,"Osmoz cimke 9mm ""O I""",1188,
024332,LG-024332,"Osmoz cimke 9mm ""I O II""",1188,
024343,LG-024343,"Osmoz cimke 9mm ""MANU - AUTO""",1188,
024344,LG-024344,"Osmoz cimke 9mm ""MANU - O - AUTO""",1188,
024351,LG-024351,"Osmoz cimke 9mm ""START""",1264,
024600,LG-024600,Osmoz komplett jelzőlámpa - fehér 24V ~/=,8825,
024601,LG-024601,Osmoz komplett jelzőlámpa - piros 24V ~/=,8414,
024602,LG-024602,Osmoz komplett jelzőlámpa - zöld 24V ~/=,8414,
024603,LG-024603,Osmoz komplett jelzőlámpa - kék 24V ~/=,8821,
024604,LG-024604,Osmoz komplett jelzőlámpa - sárga 24V ~/=,8824,
024605,LG-024605,Osmoz komplett jelzőlámpa - fehér 130V ~,10546,
024606,LG-024606,Osmoz komplett jelzőlámpa - piros 130V ~,10501,
024607,LG-024607,Osmoz komplett jelzőlámpa - zöld 130V ~,10541,
024608,LG-024608,Osmoz komplett jelzőlámpa - kék 130V ~,10542,
024609,LG-024609,Osmoz komplett jelzőlámpa - sárga 130V ~,10545,
024610,LG-024610,Osmoz komplett jelzőlámpa - fehér 230V ~,10061,
024611,LG-024611,Osmoz komplett jelzőlámpa - piros 230V ~,11532,
024612,LG-024612,Osmoz komplett jelzőlámpa - zöld 230V ~,11532,
024613,LG-024613,Osmoz komplett jelzőlámpa - kék 230V ~,12066,
024614,LG-024614,Osmoz komplett jelzőlámpa - sárga 230V ~,12070,
024845,LG-024845,"Osmoz csatlakozó sínre 4 mod. 2xØ22,5",23797,
025328,LG-025328,DPX 250 40A 3P termikus mágneses 36kA kompakt megszakító,327907,
025345,LG-025345,DPX 250 40A 4P termikus mágneses 36kA kompakt megszakító,422558,
025352,LG-025352,DPX 250 40A 3P termikus mágneses 70kA kompakt megszakító,357541,
025369,LG-025369,DPX 250 40A 4P termikus mágneses 70kA kompakt megszakító,462498,
025398,LG-025398,DPX-I 250 160A 3P terheléskapcsoló,189816,
025399,LG-025399,DPX-I 250 250A 4P terheléskapcsoló,244842,
025413,LG-025413,DPX-H 250 40A 3P S1 70kA kompakt megszakító,750794,
025419,LG-025419,DPX-H 250 40A 4P S1 70kA kompakt megszakító,866803,
025427,LG-025427,DPX-H 250 100A 3P Sg100kA kompakt megszakító,906885,
025428,LG-025428,DPX-H 250 160A 3P Sg100kA kompakt megszakító,842960,
025433,LG-025433,DPX-H 250 100A 4P Sg100kA kompakt megszakító,1048983,
026055,LG-026055,DPX 250 áram-védőkészülék 4P al. 250A,862532,
026060,LG-026060,DPX hibaáram védelmi modul 3P 400A,378704,
026061,LG-026061,DPX 630 áram-védőkészülék 4P alsó 400A,418768,
026063,LG-026063,DPX hibaáram védelmi modul 4P400A LED,547677,
026064,LG-026064,DPX hibaáram védelmi modul 3P 630A,436970,
026065,LG-026065,DPX 630 áram-védőkészülék 4P alsó 630A,438313,
026067,LG-026067,DPX hibaáram védelmi modul 4P630A LED,568072,
026088,LG-026088,DPX 125-1600 áramvédőrelé sínre pattintható,244948,
026092,LG-026092,DPX áram gyűrű 35mm 26091 áram-védőreléhez,87926,
026093,LG-026093,DPX áram gyűrű 80mm 26091 áram-védőreléhez,103829,
026094,LG-026094,DPX áram gyűrű 110mm 26091 áram-védőreléhez,124935,
026095,LG-026095,DPX áram gyűrű 140mm 26091 áram-védőreléhez,267878,
026096,LG-026096,DPX áram gyűrű 210mm 26091 áram-védőreléhez,439788,
026097,LG-026097,DPX áram gyűrű 150mm26088 áram védőreléhez,375191,
026098,LG-026098,DPX áram gyűrű 300mm26088 áram védőreléhez,892937,
026119,LG-026119,DPX1250/1600 motoros hajtás 24VAC/DC ,1514899,
026123,LG-026123,"DPX 1600 motoros hajtás 230V~/=, max. 1250A-ig",1395955,
026124,LG-026124,DPX1600 motoros hajtás 24VAC ,1660570,
026125,LG-026125,DPX1600 motoros hajtás 48VAC ,1544037,
026126,LG-026126,DPX1600 motoros hajtás 110VAC ,1544037,
026127,LG-026127,DPX1600 motoros hajtás R 230VAC ,1423880,
026128,LG-026128,DPX1250/1600 motoros hajtás 48VAC/DC ,1570252,
026129,LG-026129,DPX1250/1600 motoros hajtás 110VAC/DC,1514899,
026130,LG-026130,DPX 250 motoros hajtás 24V= mellső,499321,
026134,LG-026134,DPX 250 motoros hajtás 230V~= mellső,492816,
026136,LG-026136,DPX3 és DX3 állapotjelző és vezérlő interfész - RS485 modbus kommunikációhoz - 2 modul,222604,
026140,LG-026140,DPX 630 motoros hajtás 24V= mellső,725883,
026141,LG-026141,"DPX3 630 tartozékok motoros hajtáshoz, mellső 48V~",757432,
026144,LG-026144,DPX 630 motoros hajtás 230V~= mellső,745428,
026154,LG-026154,DPX 1600 motoros hajtás 230V~= mellső,1508206,Készlet erejéig!
026158,LG-026158,DPX motoros hajtás lezáró tartozék,233039,
026159,LG-026159,DPX 250-1600 motor lezáró Ronis,187006,
026160,LG-026160,DPX jelző érintkező 3A 240V~,27787,
026164,LG-026164,DPX munkaáramú 24V~= kioldó,65301,
026167,LG-026167,DPX munkaáramú 230V~= kioldó,60491,
026168,LG-026168,DPX munkaáramú 400V~= kioldó,66303,
026171,LG-026171,DPX 125 nullfeszültség 24V~ kioldó,88172,
026173,LG-026173,DPX 125 nullfeszültség 230V~ kioldó,93780,
026174,LG-026174,DPX 125 nullfeszültség 400V~ kioldó,91170,
026175,LG-026175,DPX 125 nullfeszültség késleltetett kioldó,92003,
026181,LG-026181,DPX 250ER-1600 nullfeszültség 24V~ kioldó,88172,
026183,LG-026183,DPX 250ER-1600 nullfeszültség 230V~ kioldó,89009,
026184,LG-026184,DPX 250ER-1600 nullfeszültség 400V~ kioldó,91170,
026185,LG-026185,DPX 250ER-1600 nullfeszültség késleltetett kioldó,92003,
026190,LG-026190,DPX késleltetett modul 230V~ 26175/85 távkioldóhoz,182419,
026191,LG-026191,DPX késleltetett modul 400V~ 26175/85 távkioldóhoz,182419,
026197,LG-026197,DPX elektronikus tesztelő,116911,
026221,LG-026221,DPX 250 kapcsolókar lakat,12316,
026222,LG-026222,DPX 250 közvetlenhajtás sz. mellső rotációs,102833,
026224,LG-026224,DPX 250/630 hajtás átalakító p/s 26222/23-hoz,83733,
026225,LG-026225,DPX 250-1600 hajtás retesz,28630,
026226,LG-026226,DPX 250 kapocs-takaró 3P plombálható,31347,
026227,LG-026227,DPX 250 kapocs-takaró 4P plombálható,29740,
026230,LG-026230,DPX 250 válaszfal készlet 3db,15630,
026231,LG-026231,"DPX 250ER/250 saru adapter válaszfalakkal, 4db",29250,
026232,LG-026232,DPX 250 bekötőkapocs hossz adapter 4db,57225,
026233,LG-026233,DPX 250 fázis növelő 3P,36044,
026234,LG-026234,DPX 250 fázis növelő 4P,36762,
026235,LG-026235,DPX 250 bekötőkapocs 185mm2 kábelhez,19875,
026239,LG-026239,DPX-IS 250 készülékrögzítőlap,15285,
026240,LG-026240,"DPX 630 lakat ""nyitott"" áll ",26415,
026241,LG-026241,DPX 630 közvetlenhajtás sz. mellső rotációs,128120,
026244,LG-026244,DPX 630 kapocs-takaró 3P plombálható,38500,
026245,LG-026245,DPX 630 kapocs-takaró 4P plombálható,47458,
026246,LG-026246,DPX 630 kábelsaru adapater válaszfalakkal 4db,48912,
026247,LG-026247,DPX 630 bekötőkapocs hosszabbító adapter 4db,61152,
026248,LG-026248,DPX 630 fázis növelő 3P,61393,
026249,LG-026249,DPX 630 fázis növelő 4P,87371,
026250,LG-026250,DPX 630 bekötőkapocs 300mm2 kábelhez,69214,
026251,LG-026251,DPX 630 bekötőkapocs 2x240mm2 kábelhez,161218,
026260,LG-026260,DPX 1600 kapcsolókar lakatoló,29100,
026261,LG-026261,DPX 1600 közvetlen hajtás szélső mellső rotációs,153533,
026264,LG-026264,DPX 1600 kapocs-takaró 3P plombálható,67849,
026265,LG-026265,DPX 1600 kapocs-takaró 4P plombálható,90284,
026266,LG-026266,DPX 1600 válaszfal készlet 3db,6115,
026267,LG-026267,DPX 1600 1250A bekötőkapocs hosszabbító adapter 1db,54973,
026268,LG-026268,DPX 1600 1600A bekötőkapocs hosszabbító adapter 1db,116506,
026269,LG-026269,DPX 1600 bekötőkapocs 2x240mm2 kábelhez,34591,
026270,LG-026270,DPX 1600 bekötőkapocs 4x240mm2 kábelhez,72562,
026273,LG-026273,DPX 1600 fázis növelő 3P,502527,
026274,LG-026274,DPX 1600 fázis növelő 4P,681689,
026279,LG-026279,DPX 250 mellső meghosszabbított rotációs hajtás szürke,210839,
026280,LG-026280,DPX 250 mellső meghosszabbított rotációs hajtás vészleállító,220538,
026281,LG-026281,DPX 630 mellső meghosszabbított rotációs hajtás szürke,178660,
026282,LG-026282,DPX 630 mellső meghosszabbított rotációs hajtás vészleállító,187034,
026283,LG-026283,DPX 1600 mellső meghosszabbított rotációs hajtás szürke,223331,
026284,LG-026284,DPX 1600 mellső meghosszabbított rotációs hajtás vészleállító,228913,
026287,LG-026287,Plombálható kapocstakaró DPX-IS 250-hez - 2 db-os készlet,45656,
026288,LG-026288,DPX 250ER bekötőkapocs 185mm2 kábelhez,18879,
026292,LG-026292,DPX 125-1600 Eurolock lezárótartozék,123087,
026293,LG-026293,DPX 125-1600 Profalux lezárótartozék,224300,
026294,LG-026294,DPX 125-1600 Ronis lezárótartozék,233039,
026299,LG-026299,DPX 125/250ER sínmagas. moduláris készülékekhez,12500,
026331,LG-026331,DPX 250 hátsó csatlakozó 3P csavarral ,60083,
026332,LG-026332,DPX 250 hátsó csatlakozó 4P csavarral ,81023,
026343,LG-026343,DPX 250 kihúzható fogantyú,60215,
026348,LG-026348,DPX3 630 tartozékoklezáró lakat egy kulcs,233039,
026350,LG-026350,DPX 630 hátsó csatlakozó 3P csavarral ,154375,
026351,LG-026351,DPX 630 hátsó csatlakozó 4P csavarral ,206818,
026352,LG-026352,DPX 630 hátsó csatlakozó 3P lapos,198202,
026353,LG-026353,DPX 630 hátsó csatlakozó 4P lapos,217746,
026368,LG-026368,DPX 630 kihúzó fogantyú,0,Megszűnt termék!
026380,LG-026380,DPX 1600 hátsó csatlakozó 3P rövid lapos,231706,
026381,LG-026381,DPX 1600 hátsó csatlakozó 3P hosszú lapos,524372,
026382,LG-026382,DPX 1600 hátsó csatlakozó 4P rövid lapos,279168,
026383,LG-026383,DPX 1600 hátsó csatlakozó 4P hosszú lapos,640905,
026399,LG-026399,DPX 8 érintkezős csatlakozó,23656,
026403,LG-026403,DPX 250 átkapcsoló reteszelt kihúzható készülékhez,159466,
026404,LG-026404,DPX 630 átkapcsoló reteszelt kihúzható készülékhez,174771,
026405,LG-026405,DPX 1600 átkapcsoló reteszelt kihúzható készülékhez,453695,
026408,LG-026408,DPX 250 átkapcsoló reteszelt fix készülékhez,102271,
026409,LG-026409,DPX 630 átkapcsoló reteszelt fix készülékhez,116506,
026410,LG-026410,DPX 1600 átkapcsoló reteszelt fix készülékhez,346658,
026527,LG-026527,DPX 250 hátsó csatlakozó 3P lapos,71146,
026528,LG-026528,DPX 250 hátsó csatlakozó 4P lapos,94876,
026529,LG-026529,DPX 250 dugaszhüvely 3P,107422,
026530,LG-026530,DPX 250 dugaszhüvely 4P,139438,
026531,LG-026531,DPX 250 foglalat 3P mellső csavaros csatlakozókkal,141303,
026532,LG-026532,DPX 250 foglalat 4P mellső csavaros csatlakozókkal,165183,
026533,LG-026533,DPX 250 foglalat 3P hátsó csavaros csatlakozókkal,175621,
026534,LG-026534,DPX 250 foglalat 4P hátsó csavaros csatlakozókkal,232768,
026535,LG-026535,DPX 250 foglalat 3P hátsó lapos csatlakozókkal,165725,
026536,LG-026536,DPX 250 foglalat 4P hátsó lapos csatlakozókkal,216446,
026545,LG-026545,DPX 250 Debro-lift 3P kikocsizó mechanizmus,376724,
026546,LG-026546,DPX 250 Debro-lift 4P kikocsizó mechanizmus,388118,
026550,LG-026550,DPX 630 dugaszhüvely 3P,152577,
026551,LG-026551,DPX 630 dugaszhüvely 4P,171351,
026574,LG-026574,DPX 250-1600 kocsizható jelző érintkező,50228,
026575,LG-026575,DPX 250-1600 kocsiszerkezet hajtás,40757,
026576,LG-026576,DPX 250-1600 kocsiszerkezet lez. Ronis,166029,
026577,LG-026577,DPX3 630 tartozékoklezáró lakat két kulcs,320437,
026578,LG-026578,DPX 250/630+hajtás kocsiszerkezet Ronis,343743,
026579,LG-026579,DPX3 1600 tartozékoklezáró lakat két kulcs,349572,
026580,LG-026580,DPX 1600+hajtás kocsiszerkezet Ronis,378703,
026589,LG-026589,DPX-IS 1600 mellső meghosszabbított rotációs hajtás szürke,223959,
026590,LG-026590,DPX-IS 1600 mellső meghosszabbított rotációs hajtás vészleállító,228667,
026591,LG-026591,DPX-IS 800A 3P,1449411,
026592,LG-026592,DPX-IS 1000A 3P,1577122,
026593,LG-026593,DPX-IS 1250A 3P,1739297,
026594,LG-026594,DPX-IS 1600A 3P,2029177,
026595,LG-026595,DPX-IS 800A 4P,1923594,
026596,LG-026596,DPX-IS 1000A 4P,1923594,
026597,LG-026597,DPX-IS 1250A 4P,2098461,
026598,LG-026598,DPX-IS 1600A 4P,2448203,
026602,LG-026602,DPX-IS 250 160A 3P mellső kapcsolás,134491,
026603,LG-026603,DPX-IS 250 250A 3P mellső kapcsolás,166858,
026606,LG-026606,DPX-IS 250 160A 4P mellső kapcsolás,151917,
026607,LG-026607,DPX-IS 250 250A 4P mellső kapcsolás,200644,
026612,LG-026612,DPX-IS 250 160A 3P jobb oldali kapcsolás,133995,
026613,LG-026613,DPX-IS 250 250A 3P jobb oldali kapcsolás,169890,
026616,LG-026616,DPX-IS 250 160A 4P jobb oldali kapcsolás,156693,
026617,LG-026617,DPX-IS 250 250A 4P jobb oldali kapcsolás,201531,
026622,LG-026622,DPX-IS 250 160A 3P bal oldali kapcsolás,148165,
026623,LG-026623,DPX-IS 250 250A 3P bal oldali kapcsolás,177653,
026626,LG-026626,DPX-IS 250 160A 4P bal oldali kapcsolás,173535,
026627,LG-026627,DPX-IS 250 250A 4P bal oldali kapcsolás,222642,
026630,LG-026630,"DPX-IS 250 63A 3P mellső kapcsolás, kioldóval felszerelhető",183172,
026631,LG-026631,"DPX-IS 250 100A 3P mellső kapcsolás, kioldóval felszerelhető",175475,
026632,LG-026632,"DPX-IS 250 160A 3P mellső kapcsolás, kioldóval felszerelhető",177256,
026633,LG-026633,"DPX-IS 250 250A 3P mellső kapcsolás, kioldóval felszerelhető",221989,
026634,LG-026634,"DPX-IS 250 63A 4P mellső kapcsolás, kioldóval felszerelhető",187192,
026635,LG-026635,"DPX-IS 250 100A 4P mellső kapcsolás, kioldóval felszerelhető",188242,
026636,LG-026636,"DPX-IS 250 160A 4P mellső kapcsolás, kioldóval felszerelhető",192447,
026637,LG-026637,"DPX-IS 250 250A 4P mellső kapcsolás, kioldóval felszerelhető",254878,
026640,LG-026640,"DPX-IS 250 63A 3P jobb oldali kapcsolás, kioldóval felszerelhető",174607,
026641,LG-026641,"DPX-IS 250 100A 3P jobb oldali kapcsolás, kioldóval felszerelhető",383837,
026642,LG-026642,"DPX-IS 250 160A 3P jobb oldali kapcsolás, kioldóval felszerelhető",175642,
026643,LG-026643,"DPX-IS 250 250A 3P jobb oldali kapcsolás, kioldóval felszerelhető",222704,
026644,LG-026644,"DPX-IS 250 63A 4P jobb oldali kapcsolás, kioldóval felszerelhető",180963,
026645,LG-026645,"DPX-IS 250 100A 4P jobb oldali kapcsolás, kioldóval felszerelhető",395647,
026646,LG-026646,"DPX-IS 250 160A 4P jobb oldali kapcsolás, kioldóval felszerelhető",200480,
026647,LG-026647,"DPX-IS 250 250A 4P jobb oldali kapcsolás, kioldóval felszerelhető",257842,
026650,LG-026650,"DPX-IS 250 63A 3P bal oldali kapcsolás, kioldóval felszerelhető",181198,
026651,LG-026651,"DPX-IS 250 100A 3P bal oldali kapcsolás, kioldóval felszerelhető",181187,
026652,LG-026652,"DPX-IS 250 160A 3P bal oldali kapcsolás, kioldóval felszerelhető",189531,
026653,LG-026653,"DPX-IS 250 250A 3P bal oldali kapcsolás, kioldóval felszerelhető",240317,
026654,LG-026654,"DPX-IS 250 63A 4P bal oldali kapcsolás, kioldóval felszerelhető",195425,
026655,LG-026655,"DPX-IS 250 100A 4P bal oldali kapcsolás, kioldóval felszerelhető",195425,
026656,LG-026656,"DPX-IS 250 160A 4P bal oldali kapcsolás, kioldóval felszerelhető",217535,
026657,LG-026657,"DPX-IS 250 250A 4P bal oldali kapcsolás, kioldóval felszerelhető",279098,
